work_context,role_seat,region,design_tools,code_in_workflow,anticipated_investment,vibe_coding_ratio,built_own_tool,ai_trust,blockers,workflow_shift,role_outlook,workflow_satisfaction
Mid-size in-house (101–999),Design manager or director,Northern Europe,"Cursor, Figma, ChatGPT, Slack, Google Meet, FigJam, Miro",I use AI or no-code to generate code,"No-code tools (not AI), AI-generated coding",Occasionally,"No, but I want to",Ships with minor tweaks,"Time to learn new tools, Engineering team constraints, Too many tools, unclear which to commit",AI is now central — major shift,"Less secure, AI is changing what's expected of me",4.0
Agency or consulting,Lead or principal,Western Europe,"Nanobanana, Figma, Gemini, Claude, ClickUp, Google Slides, Google Meet, Zoom, Lyssna, FigJam",I hand-code prototypes but not production,"AI-generated coding, Design systems & tokens, Agent workflows & automations",None,"No, but I want to",Working output I review before shipping,"Time to learn new tools, Security or compliance policy, AI output quality isn't reliable enough",AI is now central — major shift,"More valuable, my skills matter more than before",4.0
Startup in-house (2–100),Designer (Individual contributor),Western Europe,"Figma Make, ChatGPT",I hand-code prototypes but not production,"AI-generated coding, Canvas design tools, Design systems & tokens",None,"No, and I don't plan to",Exploration and brainstorming only,"Too many tools, unclear which to commit","Added new tools, AI included",About the same,10.0
Independent or freelance,Designer (Individual contributor),North America,"Figma, FigJam, Notion",I review or inspect code but don't write it,Agent workflows & automations,None,"No, and I don't plan to",Exploration and brainstorming only,"Time to learn new tools, Too many tools, unclear which to commit","Still in flux, changing often","Less secure, AI is changing what's expected of me",4.0
Startup in-house (2–100),Designer (Individual contributor),North America,"Figma, Gemini, Jira, Google Meet",Code isn't part of my workflow,"Canvas design tools, No-code tools (not AI), AI-generated coding",None,"No, but I want to",Exploration and brainstorming only,"Time to learn new tools, Too many tools, unclear which to commit, Budget or procurement friction","Added new tools, AI included",Honestly not sure,4.0
"Enterprise in-house (1,000+)",Design manager or director,North America,"Figma, ChatGPT, Jira, Google Slides, PowerPoint, Zoom, Slack, Google Meet, Dscout, FigJam, Lucidchart, Lucidspark, v0 (Vercel), Cursor, Figma Make, Storybook, Zeroheight, Microsoft office, SharePoint, Pen & paper",Code isn't part of my workflow,"Design systems & tokens, Agent workflows & automations, No-code tools (not AI)",None,"No, but I want to",First drafts I heavily edit,"Time to learn new tools, AI output quality isn't reliable enough, Budget or procurement friction","Still in flux, changing often",About the same,3.0
"Student, educator, or between roles",Designer (Individual contributor),South Asia,"Figma, Gemini, ChatGPT, Framer",Code isn't part of my workflow,"Design systems & tokens, Canvas design tools, Agent workflows & automations",None,"No, but I want to",Exploration and brainstorming only,"Time to learn new tools, Budget or procurement friction, Too many tools, unclear which to commit","Added new tools, AI included","Less secure, AI is changing what's expected of me",4.0
Startup in-house (2–100),Lead or principal,Southern Europe,"Claude Cowork, Lovable, Claude Code, OpenAI Codex, Google Antigravity, Gemini CLI, Figma Make, MagicPath, FLORA, Midjourney, Nanobanana, Figma, Paper, ChatGPT, Claude, Gemini, Grok, Perplexity, Jitter, LottieFiles, Spline, SVGator, Jira, Notion, Obsidian, Google Slides, Keynote, Google Meet, Discord, Slack, Framer, Miro",I use AI or no-code to generate code,"AI-generated coding, No-code tools (not AI), Canvas design tools",Nearly all of it,"No, but I want to",First drafts I heavily edit,"Time to learn new tools, Budget or procurement friction, Security or compliance policy","Added new tools, AI included",About the same,5.0
Startup in-house (2–100),Lead or principal,North America,"Claude Cowork, Claude Code, Figma, ChatGPT, Claude, Jira, Obsidian, Monday.com, Keynote, Slack, Zoom, FigJam, Miro",I use AI or no-code to generate code,"AI-generated coding, Agent workflows & automations, Design systems & tokens",Most of it,"No, but I want to",First drafts I heavily edit,"Time to learn new tools, Engineering team constraints",AI is now central — major shift,"More valuable, my skills matter more than before",9.0
Startup in-house (2–100),Design engineer,North America,"Claude Cowork, Make, n8n, Base44, Bolt.new, v0 (Vercel), Vibecode, Claude Code, Cursor, Gemini CLI, GitHub Copilot, Windsurf, Figma Make, UX Pilot, Uizard, Adobe Firefly, DALL-E, Leonardo AI, Midjourney, Figma, Sketch, Paper, Pencil.dev, Builder.io, Claude, Jitter, LottieFiles, Spline, Notion, Tome, Beautiful.ai, Play, Discord, Slack, Google Meet, Great Question, Framer, FigJam, Miro",I write production code,"AI-generated coding, Agent workflows & automations, Video, motion, & 3D",Most of it,"Yes, I build personal tools regularly",Working output I review before shipping,"Security or compliance policy, Too many tools, unclear which to commit, Engineering team constraints",AI is now central — major shift,"More valuable, my skills matter more than before",8.0
